,name,party,state,bill,result
0,Alexander,R,TN,1,0.0
1,Ayotte,R,NH,1,0.0
2,Baldwin,D,WI,1,1.0
3,Barrasso,R,WY,1,0.0
4,Bennet,D,CO,1,0.0
5,Blumenthal,D,CT,1,1.0
6,Blunt,R,MO,1,0.0
7,Booker,D,NJ,1,1.0
8,Boozman,R,AR,1,0.0
9,Boxer,D,CA,1,0.5
10,Brown,D,OH,1,1.0
11,Burr,R,NC,1,0.0
12,Cantwell,D,WA,1,1.0
13,Capito,R,WV,1,0.5
14,Cardin,D,MD,1,1.0
15,Carper,D,DE,1,0.0
16,Casey,D,PA,1,0.0
17,Cassidy,R,LA,1,0.0
18,Coats,R,IN,1,0.0
19,Cochran,R,MS,1,0.0
20,Collins,R,ME,1,0.0
21,Coons,D,DE,1,1.0
22,Corker,R,TN,1,0.0
23,Cornyn,R,TX,1,0.0
24,Cotton,R,AR,1,0.0
25,Crapo,R,ID,1,0.0
26,Cruz,R,TX,1,0.0
27,Daines,R,MT,1,0.0
28,Donnelly,D,IN,1,0.0
29,Durbin,D,IL,1,1.0
30,Enzi,R,WY,1,0.0
31,Ernst,R,IA,1,0.0
32,Feinstein,D,CA,1,1.0
33,Fischer,R,NE,1,0.0
34,Flake,R,AZ,1,0.0
35,Franken,D,MN,1,1.0
36,Gardner,R,CO,1,0.0
37,Gillibrand,D,NY,1,1.0
38,Graham,R,SC,1,0.0
39,Grassley,R,IA,1,0.0
40,Hatch,R,UT,1,0.0
41,Heinrich,D,NM,1,0.0
42,Heitkamp,D,ND,1,0.0
43,Heller,R,NV,1,0.0
44,Hirono,D,HI,1,1.0
45,Hoeven,R,ND,1,0.0
46,Inhofe,R,OK,1,0.0
47,Isakson,R,GA,1,0.0
48,Johnson,R,WI,1,0.0
49,Kaine,D,VA,1,1.0
50,King,I,ME,1,0.0
51,Kirk,R,IL,1,0.0
52,Klobuchar,D,MN,1,0.0
53,Lankford,R,OK,1,0.0
54,Leahy,D,VT,1,1.0
55,Lee,R,UT,1,0.0
56,Manchin,D,WV,1,0.0
57,Markey,D,MA,1,1.0
58,McCain,R,AZ,1,0.0
59,McCaskill,D,MO,1,0.0
60,McConnell,R,KY,1,0.0
61,Menendez,D,NJ,1,1.0
62,Merkley,D,OR,1,1.0
63,Mikulski,D,MD,1,1.0
64,Moran,R,KS,1,0.0
65,Murkowski,R,AK,1,0.0
66,Murphy,D,CT,1,1.0
67,Murray,D,WA,1,1.0
68,Nelson,D,FL,1,1.0
69,Paul,R,KY,1,0.0
70,Perdue,R,GA,1,0.0
71,Peters,D,MI,1,0.0
72,Portman,R,OH,1,0.0
73,Reed,D,RI,1,1.0
74,Reid,D,NV,1,0.5
75,Risch,R,ID,1,0.0
76,Roberts,R,KS,1,0.0
77,Rounds,R,SD,1,0.0
78,Rubio,R,FL,1,0.0
79,Sanders,I,VT,1,1.0
80,Sasse,R,NE,1,0.0
81,Schatz,D,HI,1,1.0
82,Schumer,D,NY,1,1.0
83,Scott,R,SC,1,0.0
84,Sessions,R,AL,1,0.0
85,Shaheen,D,NH,1,1.0
86,Shelby,R,AL,1,0.0
87,Stabenow,D,MI,1,0.0
88,Sullivan,R,AK,1,0.0
89,Tester,D,MT,1,0.0
90,Thune,R,SD,1,0.0
91,Tillis,R,NC,1,0.0
92,Toomey,R,PA,1,0.0
93,Udall,D,NM,1,1.0
94,Vitter,R,LA,1,0.0
95,Warner,D,VA,1,1.0
96,Warren,D,MA,1,1.0
97,Whitehouse,D,RI,1,1.0
98,Wicker,R,MS,1,0.0
99,Wyden,D,OR,1,1.0
100,Alexander,R,TN,2,1.0
101,Ayotte,R,NH,2,1.0
102,Baldwin,D,WI,2,0.0
103,Barrasso,R,WY,2,1.0
104,Bennet,D,CO,2,0.0
105,Blumenthal,D,CT,2,0.0
106,Blunt,R,MO,2,1.0
107,Booker,D,NJ,2,0.0
108,Boozman,R,AR,2,1.0
109,Boxer,D,CA,2,0.0
110,Brown,D,OH,2,0.0
111,Burr,R,NC,2,1.0
112,Cantwell,D,WA,2,0.0
113,Capito,R,WV,2,1.0
114,Cardin,D,MD,2,0.0
115,Carper,D,DE,2,0.0
116,Casey,D,PA,2,0.0
117,Cassidy,R,LA,2,1.0
118,Coats,R,IN,2,1.0
119,Cochran,R,MS,2,1.0
120,Collins,R,ME,2,1.0
121,Coons,D,DE,2,0.0
122,Corker,R,TN,2,1.0
123,Cornyn,R,TX,2,1.0
124,Cotton,R,AR,2,1.0
125,Crapo,R,ID,2,1.0
126,Cruz,R,TX,2,1.0
127,Daines,R,MT,2,1.0
128,Donnelly,D,IN,2,0.0
129,Durbin,D,IL,2,0.0
130,Enzi,R,WY,2,1.0
131,Ernst,R,IA,2,1.0
132,Feinstein,D,CA,2,0.0
133,Fischer,R,NE,2,1.0
134,Flake,R,AZ,2,1.0
135,Franken,D,MN,2,0.0
136,Gardner,R,CO,2,1.0
137,Gillibrand,D,NY,2,0.0
138,Graham,R,SC,2,1.0
139,Grassley,R,IA,2,1.0
140,Hatch,R,UT,2,1.0
141,Heinrich,D,NM,2,0.0
142,Heitkamp,D,ND,2,1.0
143,Heller,R,NV,2,1.0
144,Hirono,D,HI,2,0.0
145,Hoeven,R,ND,2,1.0
146,Inhofe,R,OK,2,1.0
147,Isakson,R,GA,2,1.0
148,Johnson,R,WI,2,1.0
149,Kaine,D,VA,2,0.0
150,King,I,ME,2,0.0
151,Kirk,R,IL,2,1.0
152,Klobuchar,D,MN,2,0.0
153,Lankford,R,OK,2,1.0
154,Leahy,D,VT,2,0.0
155,Lee,R,UT,2,1.0
156,Manchin,D,WV,2,1.0
157,Markey,D,MA,2,0.0
158,McCain,R,AZ,2,1.0
159,McCaskill,D,MO,2,0.0
160,McConnell,R,KY,2,1.0
161,Menendez,D,NJ,2,0.0
162,Merkley,D,OR,2,0.0
163,Mikulski,D,MD,2,0.0
164,Moran,R,KS,2,1.0
165,Murkowski,R,AK,2,1.0
166,Murphy,D,CT,2,0.0
167,Murray,D,WA,2,0.0
168,Nelson,D,FL,2,0.0
169,Paul,R,KY,2,1.0
170,Perdue,R,GA,2,1.0
171,Peters,D,MI,2,0.0
172,Portman,R,OH,2,1.0
173,Reed,D,RI,2,0.0
174,Reid,D,NV,2,0.5
175,Risch,R,ID,2,1.0
176,Roberts,R,KS,2,1.0
177,Rounds,R,SD,2,1.0
178,Rubio,R,FL,2,1.0
179,Sanders,I,VT,2,0.0
180,Sasse,R,NE,2,1.0
181,Schatz,D,HI,2,0.0
182,Schumer,D,NY,2,0.0
183,Scott,R,SC,2,1.0
184,Sessions,R,AL,2,1.0
185,Shaheen,D,NH,2,0.0
186,Shelby,R,AL,2,1.0
187,Stabenow,D,MI,2,0.0
188,Sullivan,R,AK,2,1.0
189,Tester,D,MT,2,0.0
190,Thune,R,SD,2,1.0
191,Tillis,R,NC,2,1.0
192,Toomey,R,PA,2,1.0
193,Udall,D,NM,2,0.0
194,Vitter,R,LA,2,1.0
195,Warner,D,VA,2,1.0
196,Warren,D,MA,2,0.0
197,Whitehouse,D,RI,2,0.0
198,Wicker,R,MS,2,1.0
199,Wyden,D,OR,2,0.0
200,Alexander,R,TN,3,1.0
201,Ayotte,R,NH,3,1.0
202,Baldwin,D,WI,3,0.0
203,Barrasso,R,WY,3,1.0
204,Bennet,D,CO,3,0.0
205,Blumenthal,D,CT,3,0.0
206,Blunt,R,MO,3,1.0
207,Booker,D,NJ,3,0.0
208,Boozman,R,AR,3,1.0
209,Boxer,D,CA,3,0.0
210,Brown,D,OH,3,0.0
211,Burr,R,NC,3,0.0
212,Cantwell,D,WA,3,0.0
213,Capito,R,WV,3,1.0
214,Cardin,D,MD,3,0.0
215,Carper,D,DE,3,0.0
216,Casey,D,PA,3,0.0
217,Cassidy,R,LA,3,1.0
218,Coats,R,IN,3,1.0
219,Cochran,R,MS,3,1.0
220,Collins,R,ME,3,1.0
221,Coons,D,DE,3,0.0
222,Corker,R,TN,3,1.0
223,Cornyn,R,TX,3,1.0
224,Cotton,R,AR,3,1.0
225,Crapo,R,ID,3,1.0
226,Cruz,R,TX,3,1.0
227,Daines,R,MT,3,1.0
228,Donnelly,D,IN,3,0.0
229,Durbin,D,IL,3,0.0
230,Enzi,R,WY,3,1.0
231,Ernst,R,IA,3,1.0
232,Feinstein,D,CA,3,0.0
233,Fischer,R,NE,3,1.0
234,Flake,R,AZ,3,1.0
235,Franken,D,MN,3,0.0
236,Gardner,R,CO,3,1.0
237,Gillibrand,D,NY,3,0.0
238,Graham,R,SC,3,1.0
239,Grassley,R,IA,3,1.0
240,Hatch,R,UT,3,1.0
241,Heinrich,D,NM,3,0.0
242,Heitkamp,D,ND,3,0.0
243,Heller,R,NV,3,1.0
244,Hirono,D,HI,3,0.0
245,Hoeven,R,ND,3,1.0
246,Inhofe,R,OK,3,1.0
247,Isakson,R,GA,3,1.0
248,Johnson,R,WI,3,1.0
249,Kaine,D,VA,3,0.0
250,King,I,ME,3,0.0
251,Kirk,R,IL,3,1.0
252,Klobuchar,D,MN,3,0.0
253,Lankford,R,OK,3,1.0
254,Leahy,D,VT,3,0.0
255,Lee,R,UT,3,1.0
256,Manchin,D,WV,3,0.0
257,Markey,D,MA,3,0.0
258,McCain,R,AZ,3,1.0
259,McCaskill,D,MO,3,0.0
260,McConnell,R,KY,3,1.0
261,Menendez,D,NJ,3,0.0
262,Merkley,D,OR,3,0.0
263,Mikulski,D,MD,3,0.0
264,Moran,R,KS,3,1.0
265,Murkowski,R,AK,3,1.0
266,Murphy,D,CT,3,0.0
267,Murray,D,WA,3,0.0
268,Nelson,D,FL,3,0.0
269,Paul,R,KY,3,1.0
270,Perdue,R,GA,3,1.0
271,Peters,D,MI,3,0.0
272,Portman,R,OH,3,1.0
273,Reed,D,RI,3,0.0
274,Reid,D,NV,3,0.5
275,Risch,R,ID,3,1.0
276,Roberts,R,KS,3,1.0
277,Rounds,R,SD,3,1.0
278,Rubio,R,FL,3,1.0
279,Sanders,I,VT,3,0.0
280,Sasse,R,NE,3,1.0
281,Schatz,D,HI,3,0.0
282,Schumer,D,NY,3,0.0
283,Scott,R,SC,3,1.0
284,Sessions,R,AL,3,1.0
